time_iso8601,stars_cumulative
2025-09-29 00:00:00+00:00,1
2025-10-03 00:00:00+00:00,2
2025-10-05 00:00:00+00:00,4
2025-10-24 00:00:00+00:00,5
2025-10-27 00:00:00+00:00,6
2025-11-01 00:00:00+00:00,7
2025-11-02 00:00:00+00:00,8
2025-11-04 00:00:00+00:00,9
2025-11-12 00:00:00+00:00,10
2025-11-13 00:00:00+00:00,11
2025-11-14 00:00:00+00:00,12
2025-11-19 00:00:00+00:00,13
2025-11-29 00:00:00+00:00,14
2025-12-01 00:00:00+00:00,15
2025-12-06 00:00:00+00:00,16
2025-12-07 00:00:00+00:00,17
2025-12-08 00:00:00+00:00,18
2025-12-10 00:00:00+00:00,19
2025-12-22 00:00:00+00:00,20
2026-01-04 00:00:00+00:00,21
2026-01-11 00:00:00+00:00,22
2026-01-14 00:00:00+00:00,23
2026-01-15 00:00:00+00:00,24
2026-01-18 00:00:00+00:00,25
2026-01-21 00:00:00+00:00,26
2026-01-22 00:00:00+00:00,27
2026-01-23 00:00:00+00:00,28
2026-01-24 00:00:00+00:00,29
2026-01-26 00:00:00+00:00,31
2026-01-27 00:00:00+00:00,32
2026-01-30 00:00:00+00:00,33
2026-02-03 00:00:00+00:00,34
2026-02-12 00:00:00+00:00,35
2026-02-17 00:00:00+00:00,36
2026-02-19 00:00:00+00:00,37
2026-02-20 00:00:00+00:00,38
2026-02-22 00:00:00+00:00,39
2026-02-23 00:00:00+00:00,40
2026-02-25 00:00:00+00:00,42
2026-02-26 00:00:00+00:00,44
2026-02-28 00:00:00+00:00,46
2026-03-03 00:00:00+00:00,47
2026-03-04 00:00:00+00:00,48
2026-03-05 00:00:00+00:00,49
2026-03-10 00:00:00+00:00,50
2026-03-11 00:00:00+00:00,51
2026-03-13 00:00:00+00:00,52
2026-03-14 00:00:00+00:00,53
2026-03-16 00:00:00+00:00,54
2026-03-19 00:00:00+00:00,55
2026-03-24 00:00:00+00:00,56
2026-03-25 00:00:00+00:00,58
2026-03-26 00:00:00+00:00,59
2026-03-28 00:00:00+00:00,60
2026-03-29 00:00:00+00:00,61
2026-04-03 00:00:00+00:00,62
2026-04-07 00:00:00+00:00,64
2026-04-08 00:00:00+00:00,65
2026-04-10 00:00:00+00:00,67
2026-04-11 00:00:00+00:00,68
2026-04-15 00:00:00+00:00,70
2026-04-17 00:00:00+00:00,72
2026-04-18 00:00:00+00:00,73
2026-04-20 00:00:00+00:00,74
2026-04-25 00:00:00+00:00,75
2026-04-30 00:00:00+00:00,76
2026-05-01 00:00:00+00:00,78
2026-05-03 00:00:00+00:00,80
2026-05-04 00:00:00+00:00,82
2026-05-07 00:00:00+00:00,84
2026-05-08 00:00:00+00:00,86
2026-05-10 00:00:00+00:00,87
2026-05-13 00:00:00+00:00,88
2026-05-18 00:00:00+00:00,89
2026-05-24 00:00:00+00:00,90
2026-05-26 00:00:00+00:00,91
2026-06-01 00:00:00+00:00,93
2026-06-03 00:00:00+00:00,94
2026-06-04 00:00:00+00:00,96
2026-06-06 00:00:00+00:00,98
2026-06-09 00:00:00+00:00,99
2026-06-11 00:00:00+00:00,100
2026-06-15 00:00:00+00:00,101
2026-06-17 00:00:00+00:00,102
2026-06-19 00:00:00+00:00,103
2026-06-24 00:00:00+00:00,105
2026-06-27 00:00:00+00:00,106
2026-06-28 00:00:00+00:00,107
2026-07-01 00:00:00+00:00,109
2026-07-02 00:00:00+00:00,110
2026-07-03 00:00:00+00:00,111
2026-07-11 00:00:00+00:00,112
2026-07-14 00:00:00+00:00,113
