url_path,views_total,views_unique
/damionrashford/RivalSearchMCP,223,102
/damionrashford/RivalSearchMCP/issues,12,7
/damionrashford/RivalSearchMCP/pulls,8,3
/damionrashford/RivalSearchMCP/tree/main,7,4
/damionrashford/RivalSearchMCP/tree/main/.claude-plugin,7,3
/damionrashford/RivalSearchMCP/blob/main/.claude-plugin/marketplace.json,7,2
/damionrashford/RivalSearchMCP/releases/tag/v1.2.0,6,3
/damionrashford/RivalSearchMCP/tree/main/docs,4,2
/damionrashford/RivalSearchMCP/actions/runs/26854297562,4,1
/damionrashford/RivalSearchMCP/tree/main/docs/stats,4,1
