url_path,views_total,views_unique
/damionrashford/RivalSearchMCP,219,105
/damionrashford/RivalSearchMCP/pulls,21,4
/damionrashford/RivalSearchMCP/issues,15,8
/damionrashford/RivalSearchMCP/tree/main/docs/stats,12,2
/damionrashford/RivalSearchMCP/tree/main/docs,11,2
/damionrashford/RivalSearchMCP/tree/main,9,7
/damionrashford/RivalSearchMCP/pull/45,9,2
/damionrashford/RivalSearchMCP/actions,8,2
/damionrashford/RivalSearchMCP/actions/workflows/github-repo-stats.yml,8,2
/damionrashford/RivalSearchMCP/blob/main/docs/stats/index.html,8,2
