time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-28 00:00:00+00:00,21,20,9,6
2026-08-29 00:00:00+00:00,50,32,12,6
2026-08-30 00:00:00+00:00,43,40,18,12
2026-08-31 00:00:00+00:00,47,44,22,15
2026-09-01 00:00:00+00:00,34,32,18,14
2026-09-02 00:00:00+00:00,44,39,11,7
2026-09-03 00:00:00+00:00,41,35,12,11
2026-09-04 00:00:00+00:00,62,50,21,10
2026-09-05 00:00:00+00:00,70,52,14,8
2026-09-06 00:00:00+00:00,72,52,30,10
2026-09-07 00:00:00+00:00,78,41,15,6
2026-09-08 00:00:00+00:00,50,42,8,7
2026-09-09 00:00:00+00:00,38,36,22,12
2026-09-10 00:00:00+00:00,43,35,8,6
