time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,110,23,16,12
2026-06-18 00:00:00+00:00,22,16,14,6
2026-06-19 00:00:00+00:00,43,21,12,8
2026-06-20 00:00:00+00:00,67,23,9,8
2026-06-21 00:00:00+00:00,25,12,15,13
2026-06-22 00:00:00+00:00,20,15,21,9
2026-06-23 00:00:00+00:00,35,17,11,6
2026-06-24 00:00:00+00:00,13,9,7,6
2026-06-25 00:00:00+00:00,27,14,8,5
2026-06-26 00:00:00+00:00,30,11,8,7
2026-06-27 00:00:00+00:00,30,12,17,9
2026-06-28 00:00:00+00:00,25,13,11,9
2026-06-29 00:00:00+00:00,16,10,3,3
2026-06-30 00:00:00+00:00,18,11,6,6
