time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-29 00:00:00+00:00,44,40,30,14
2026-07-30 00:00:00+00:00,41,36,25,9
2026-07-31 00:00:00+00:00,35,32,18,7
2026-08-01 00:00:00+00:00,63,43,9,9
2026-08-02 00:00:00+00:00,84,54,11,7
2026-08-03 00:00:00+00:00,49,31,14,10
2026-08-04 00:00:00+00:00,45,40,70,10
2026-08-05 00:00:00+00:00,43,38,21,8
2026-08-06 00:00:00+00:00,29,22,8,7
2026-08-07 00:00:00+00:00,61,45,4,4
2026-08-08 00:00:00+00:00,44,38,15,12
2026-08-09 00:00:00+00:00,36,36,4,3
2026-08-10 00:00:00+00:00,36,34,17,8
2026-08-11 00:00:00+00:00,59,46,5,4
