url_path,views_total,views_unique
/damionrashford/RivalSearchMCP,194,105
/damionrashford/RivalSearchMCP/issues,13,8
/damionrashford/RivalSearchMCP/pulls,8,4
/damionrashford/RivalSearchMCP/blob/main/.claude-plugin/marketplace.json,7,2
/damionrashford/RivalSearchMCP/tree/main,6,4
/damionrashford/RivalSearchMCP/releases/tag/v1.2.0,6,3
/damionrashford/RivalSearchMCP/tree/main/.claude-plugin,6,2
/damionrashford/RivalSearchMCP/branches,3,3
/damionrashford/RivalSearchMCP/fork,3,2
/damionrashford/RivalSearchMCP/blob/main/rival_search_mcp/tools/search.py,3,1
