time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-07 00:00:00+00:00,61,45,4,4
2026-08-08 00:00:00+00:00,44,38,15,12
2026-08-09 00:00:00+00:00,36,36,4,3
2026-08-10 00:00:00+00:00,36,34,17,8
2026-08-11 00:00:00+00:00,59,46,5,4
2026-08-12 00:00:00+00:00,41,36,10,8
2026-08-13 00:00:00+00:00,44,36,60,9
2026-08-14 00:00:00+00:00,34,30,8,8
2026-08-15 00:00:00+00:00,41,38,9,7
2026-08-16 00:00:00+00:00,36,33,15,12
2026-08-17 00:00:00+00:00,35,35,14,11
2026-08-18 00:00:00+00:00,67,35,5,3
2026-08-19 00:00:00+00:00,40,37,15,8
2026-08-20 00:00:00+00:00,48,40,33,18
