url_path,views_total,views_unique
/damionrashford/RivalSearchMCP,118,74
/damionrashford/RivalSearchMCP/tree/main/skills/rival-search-mcp,11,5
/damionrashford/RivalSearchMCP/blob/main/skills/rival-search-mcp/SKILL.md,8,5
/damionrashford/RivalSearchMCP/blob/main/README.md,7,5
/damionrashford/RivalSearchMCP/issues,6,6
/damionrashford/RivalSearchMCP/blob/main/CLAUDE.md,6,4
/damionrashford/rivalsearchmcp,6,2
/damionrashford/RivalSearchMCP/tree/main/rival_search_mcp,5,4
/damionrashford/RivalSearchMCP/tree/main/skills/rival-search-mcp/scripts,4,2
/damionrashford/RivalSearchMCP/pulls,3,3
