url_path,views_total,views_unique
/damionrashford/RivalSearchMCP,167,90
/damionrashford/RivalSearchMCP/issues,9,8
/damionrashford/RivalSearchMCP/tree/main/skills/rival-search-mcp,8,4
/damionrashford/RivalSearchMCP/pulls,7,5
/damionrashford/RivalSearchMCP/blob/main/CLAUDE.md,7,3
/damionrashford/RivalSearchMCP/blob/main/README.md,6,4
/damionrashford/RivalSearchMCP/blob/main/rival_search_mcp/tools/search.py,6,4
/damionrashford/RivalSearchMCP/blob/main/rival_search_mcp/server.py,6,3
/damionrashford/RivalSearchMCP/blob/main/skills/rival-search-mcp/SKILL.md,6,3
/damionrashford/rivalsearchmcp,6,2
