url_path,views_total,views_unique
/damionrashford/RivalSearchMCP,135,83
/damionrashford/RivalSearchMCP/pulls,9,7
/damionrashford/RivalSearchMCP/issues,8,5
/damionrashford/RivalSearchMCP/blob/main/README.md,3,3
/damionrashford/RivalSearchMCP/commits/main,3,2
/damionrashford/RivalSearchMCP/tree/main/skills/rival-search-mcp,3,2
/damionrashford/RivalSearchMCP/blob/main/.claude-plugin/marketplace.json,3,1
/damionrashford/RivalSearchMCP/blob/main/pyproject.toml,2,2
/damionrashford/RivalSearchMCP/branches,2,2
/damionrashford/RivalSearchMCP/releases,2,2
