url_path,views_total,views_unique
/damionrashford/RivalSearchMCP,130,57
/damionrashford/RivalSearchMCP/pulls,11,4
/damionrashford/RivalSearchMCP/issues,10,5
/damionrashford/RivalSearchMCP/blob/main/skills/rival-search-mcp/SKILL.md,4,1
/damionrashford/RivalSearchMCP/tree/main/skills/rival-search-mcp,3,1
/damionrashford/RivalSearchMCP/blob/main/docs/getting-started/installation.md,2,2
/damionrashford/RivalSearchMCP/blob/main/pyproject.toml,2,2
/damionrashford/RivalSearchMCP/issues/31,2,2
/damionrashford/RivalSearchMCP/blob/main/LICENSE,2,1
/damionrashford/RivalSearchMCP/commit/7ac1b393647cd9960e87f81a586346bc77441245,2,1
