time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-22 00:00:00+00:00,35,30,9,5
2026-07-23 00:00:00+00:00,57,42,14,11
2026-07-24 00:00:00+00:00,37,33,29,11
2026-07-25 00:00:00+00:00,123,32,12,12
2026-07-26 00:00:00+00:00,44,34,14,12
2026-07-27 00:00:00+00:00,50,39,14,11
2026-07-28 00:00:00+00:00,94,49,17,11
2026-07-29 00:00:00+00:00,44,40,30,14
2026-07-30 00:00:00+00:00,41,36,25,9
2026-07-31 00:00:00+00:00,35,32,18,7
2026-08-01 00:00:00+00:00,63,43,9,9
2026-08-02 00:00:00+00:00,84,54,11,7
2026-08-03 00:00:00+00:00,49,31,14,10
2026-08-04 00:00:00+00:00,45,40,70,10
