time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-11 00:00:00+00:00,26,18,11,9
2026-07-12 00:00:00+00:00,17,12,14,9
2026-07-13 00:00:00+00:00,18,14,19,12
2026-07-14 00:00:00+00:00,33,17,17,14
2026-07-15 00:00:00+00:00,22,13,6,4
2026-07-16 00:00:00+00:00,32,15,10,8
2026-07-17 00:00:00+00:00,22,16,11,9
2026-07-18 00:00:00+00:00,46,18,11,10
2026-07-19 00:00:00+00:00,7,6,8,6
2026-07-20 00:00:00+00:00,27,16,7,5
2026-07-21 00:00:00+00:00,26,13,13,10
2026-07-22 00:00:00+00:00,35,30,9,5
2026-07-23 00:00:00+00:00,57,42,14,11
2026-07-24 00:00:00+00:00,37,33,29,11
